nominee_id,nominee_name,nominator_id,nominator_name,year,type
7783,"Robert Robinson",7994,"Leopold Ruzicka",1941,C
7783,"Robert Robinson",7994,"Leopold Ruzicka",1945,C
7783,"Robert Robinson",7994,"Leopold Ruzicka",1947,C
7783,"Robert Robinson",7994,"Leopold Ruzicka",1944,C
7783,"Robert Robinson",7994,"Leopold Ruzicka",1940,C
7783,"Robert Robinson",7994,"Leopold Ruzicka",1938,C
7783,"Robert Robinson",7994,"Leopold Ruzicka",1943,C
7783,"Robert Robinson",3357,"Henry Gault",1947,C
7783,"Robert Robinson",3546,"Edwin S Goodrich",1939,C
7783,"Robert Robinson",3002,"George I Finch",1940,C
7783,"Robert Robinson",9998,"Ernst Waser",1940,C
7783,"Robert Robinson",9572,"Gustave Vavon",1946,C
7783,"Robert Robinson",4719,"Paul Karrer",1940,C
7783,"Robert Robinson",10144,"Johan P Wibaut",1940,C
7783,"Robert Robinson",3887,"Arthur Harden",1933,C
7783,"Robert Robinson",5793,"Antonio Madinaveitia",1935,C
7783,"Robert Robinson",6053,"Samuel M McElvain",1944,C
7783,"Robert Robinson",5991,"Joseph H Mathews",1944,C
7783,"Robert Robinson",494,"Fritz Arndt",1942,C
7783,"Robert Robinson",9751,"Hans K von Euler-Chelpin",1946,C
7783,"Robert Robinson",8511,"Nevil V Sidgwick",1942,C
7783,"Robert Robinson",2605,"Georges Dupont",1946,C
7783,"Robert Robinson",4006,"Sir Ian Morris Heilbron",1944,C
7783,"Robert Robinson",4006,"Sir Ian Morris Heilbron",1933,C
7783,"Robert Robinson",4006,"Sir Ian Morris Heilbron",1938,C
7783,"Robert Robinson",7965,"Paul Ruggli",1943,C
7783,"Robert Robinson",319,"Homer Adkins",1944,C
7783,"Robert Robinson",9818,"Edmund von Lippmann",1935,C
7783,"Robert Robinson",2551,"Jack C Drummond",1936,C
7783,"Robert Robinson",7160,"Rudolph A Peters",1935,C
7783,"Robert Robinson",4172,"Thomas P Hilditch",1933,C
7783,"Robert Robinson",2655,"John C Earl",1933,C
7783,"Robert Robinson",4213,"Edmund L Hirst",1947,C
7783,"Robert Robinson",7121,"William H Perkin Jr",1928,C
7783,"Robert Robinson",5748,"Alexander K Macbeth",1938,C
1550,"Melvin Calvin",11063,"H Burström",1960,C
1550,"Melvin Calvin",10960,"H Larsen",1960,C
1550,"Melvin Calvin",10960,"H Larsen",1959,C
1550,"Melvin Calvin",8323,"Glenn Theodore Seaborg",1959,C
