_id,first_nomin_y,last_nomin_y,range_y,n_nominations,nominator_NP,nominator_id,nominator_name,nominee_NP,nominee_id,nominee_name,nominee_NP_C
633db536c1ae1691ad071983,1912,1912,0,1,,10150,Oskar Widman,C in 1912|,3649,Victor Grignard,1
633db536c1ae1691ad07197f,1909,1912,3,3,C in 1905|,9713,Adolf J von Baeyer,C in 1912|,3649,Victor Grignard,1
633db538c1ae1691ad071e3b,1908,1908,0,1,,3602,Eugène Grandmougin,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e3c,1911,1911,0,1,,2441,Otto Dimroth,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e3d,1912,1912,0,1,,5209,Arnold Lang,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e3e,1911,1911,0,1,,4269,Arnold F Holleman,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e3f,1912,1912,0,1,,9216,Johannes Thiele,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e40,1913,1913,0,1,C in 1903|,511,Svante A Arrhenius,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e41,1908,1908,0,1,C in 1905|,9713,Adolf J von Baeyer,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e42,1907,1907,0,1,,672,Eugen Bamberger,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e43,1912,1912,0,1,,10030,Edgar Wedekind,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e44,1908,1908,0,1,,645,Luigi Balbiano,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e45,1913,1913,0,1,,3878,Arthur R Hantzsch,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e46,1908,1908,0,1,,9336,Frederick Treadwell,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e47,1911,1911,0,1,,9940,Paul Walden,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e48,1913,1913,0,1,C in 1912|,8017,Paul Sabatier,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e49,1908,1908,0,1,,5703,Georg Lunge,C in 1913|,10087,Alfred Werner,1
633db538c1ae1691ad071e3a,1912,1913,1,2,C in 1902|,3022,Emil H Fischer,C in 1913|,10087,Alfred Werner,1
633db537c1ae1691ad071cdf,1902,1902,0,1,,6515,Charles E Munroe,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce1,1915,1915,0,1,,1802,Giacomo Ciamician,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce5,1908,1908,0,1,,3543,W Goodbody,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce7,1912,1912,0,1,,3521,Guido Goldschmiedt,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ce9,1915,1915,0,1,,8790,Julius Stieglitz,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071cea,1915,1915,0,1,,2508,Frederick G Donnan,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071ceb,1909,1909,0,1,C in 1902|,3022,Emil H Fischer,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071cec,1914,1914,0,1,,1112,Marston T Bogert,C in 1914|,7707,Theodore W Richards,1
633db537c1ae1691ad071cde,1913,1914,1,2,C in 1903|,511,Svante A Arrhenius,C in 1914|,7707,Theodore W Richards,1
